codice;nome;comune;prov;area;quota_m;lat;lon;pos_approssimata
TOS11000039;Anghiari;Anghiari;AR;Alta Tiberina;312;43.55929;12.0974;no
TOS30233300;Badia Tedalda;Badia Tedalda;AR;Alta Tiberina;843;43.68583;12.13367;no
TOS06006078;Montedoglio;Anghiari;AR;Alta Tiberina;412;43.59139;12.05333;no
TOS19000701;Monterchi;Monterchi;AR;Alta Tiberina;309;43.4895;12.105;no
TOS11000040;Pieve S. Stefano;Pieve Santo Stefano;AR;Alta Tiberina;750;43.67395;12.10195;no
TOS19000702;Pieve S. Stefano;Pieve Santo Stefano;AR;Alta Tiberina;434;43.66903;12.0428;no
TOS11000026;Sestino;Sestino;AR;Alta Tiberina;1000;43.74964;12.27469;no
TOS11000114;Abbadia S. S. - Laghetto Verde;Abbadia San Salvatore;SI;Amiata-Val d Orcia;910;42.8831;11.66162;no
TOS11000115;Abbadia S. S. - Vetta Amiata;Abbadia San Salvatore;SI;Amiata-Val d Orcia;1678;42.8901;11.6252;no
TOS07000001;Abbadia S. Salvatore;Abbadia San Salvatore;SI;Amiata-Val d Orcia;855;42.89434;11.66937;no
TOS11000054;Baccinello;Grosseto;GR;Amiata-Val d Orcia;370;42.79551;11.40599;no
TOS11000067;Buonconvento;Montalcino;SI;Amiata-Val d Orcia;188;43.0918;11.43881;no
TOS03003041;Capanne;Manciano;GR;Amiata-Val d Orcia;438;42.69088;11.54675;no
TOS03002901;Castel del Piano;Castel del Piano;GR;Amiata-Val d Orcia;566;42.89396;11.52671;no
TOS11000058;Castiglione d�Orcia;Castiglione d' Orcia;SI;Amiata-Val d Orcia;672;42.96079;11.61771;no
TOS03002941;Granaione;Campagnatico;GR;Amiata-Val d Orcia;148;42.80437;11.30323;no
TOS03003079;Manciano;Manciano;GR;Amiata-Val d Orcia;447;42.60036;11.5185;no
TOS03005895;Marsiliana;Manciano;GR;Amiata-Val d Orcia;16;42.5441;11.33643;no
TOS03002701;Montalcino;Montalcino;SI;Amiata-Val d Orcia;594;43.05017;11.49061;no
TOS03002801;Monte Antico;Civitella Paganico;GR;Amiata-Val d Orcia;82;42.98382;11.3647;no
TOS11000051;Montenero;Castel del Piano;GR;Amiata-Val d Orcia;193;42.95061;11.43946;no
TOS03002869;Monticchiello;Pienza;SI;Amiata-Val d Orcia;495;43.06633;11.72484;no
TOS03002921;Paganico;Civitella Paganico;GR;Amiata-Val d Orcia;70;42.93971;11.28446;no
TOS03002789;Pari;Civitella Paganico;GR;Amiata-Val d Orcia;330;43.06232;11.32247;no
TOS11000060;Piancastagnaio;Piancastagnaio;SI;Amiata-Val d Orcia;341;42.81814;11.73254;no
TOS07000046;Pitigliano;Pitigliano;GR;Amiata-Val d Orcia;157;42.59349;11.59965;no
